Coin,Closed PnL
@107,2783912.919016
HYPE,1948484.599761
SOL,1639555.927506
ETH,1319978.838852
BTC,868044.732638
MELANIA,390351.069856
ENA,217329.503554
SUI,199268.834922
ZRO,183777.783689
DOGE,147543.156534
PURR/USDC,75261.058019
AIXBT,73712.168895
BERA,73689.746587
USUAL,69631.943237
EIGEN,65030.852352
AVAX,48297.313845000004
ETHFI,43929.006074
JUP,42909.223316999996
kBONK,35551.245276
JELLY,35193.716244
PURR,26766.355202
@85,26506.140009
ONDO,24570.824905
WLD,22281.920156
ANIME,21317.258031
ZEREBRO,21166.925278
LAYER,20496.4351
VIRTUAL,19544.481508
kPEPE,18676.997284
TAO,16817.94047
MOODENG,16167.348348000001
ME,16011.899938
PNUT,14844.964381
NEAR,13957.535979
RNDR,13566.322558
TIA,13021.498254
@151,11583.842769
SEI,9957.777466
APE,9731.40994
ARB,9634.58006
WIF,8984.600779
TURBO,8540.129944
MAVIA,8257.300045
GOAT,8142.94114
OP,8078.296967
AI16Z,8024.352668
PENDLE,7712.609738
AAVE,7485.007984
@142,7450.359672
JTO,7408.051171
GRIFFAIN,7092.139995
FTM,6916.166218
FTT,6909.363767
ZORA,6816.51283
RUNE,6244.389123
RENDER,6100.258256
INJ,5919.778398
ALT,5870.702544
LTC,5626.143524
SPX,5612.831099
@109,5414.08414
ILV,5309.104755
PENGU,5217.341266
TNSR,5106.264766
VINE,4777.252708
CHILLGUY,4727.794586
ZETA,4622.601501
LINK,4601.098394
MEME,4457.20042
XRP,3756.901464999999
TST,3357.994369
BLUR,3353.129145
IP,3043.288104
COMP,2814.398024
ACE,2760.71491
MOVE,2562.894536
@59,2557.105607
PROMPT,2377.976177
SAND,2213.437927
VVV,2212.897418
HPOS,1979.33753
HBAR,1909.508064
BIGTIME,1838.5441700000001
PYTH,1824.119272
OGN,1752.668422
APT,1749.189965
SCR,1612.97536
kFLOKI,1607.436125
NTRN,1601.759155
W,1593.757483
STX,1583.885992
WCT,1531.72532
MANTA,1483.648906
BADGER,1439.733233
MKR,1416.279513
BIO,1298.512254
GRASS,1253.272989
XAI,1074.213807
YGG,1043.757286
CAKE,1022.846751
BRETT,958.287363
HYPER,874.4737
GMX,699.433714
TRX,670.1615039999999
MATIC,668.931017
BLAST,632.386224
POLYX,618.133683
SUSHI,605.441925
IMX,540.2160399999999
DYDX,539.164485
@1,496.746238
MORPHO,421.871013
PIXEL,405.89459999999997
@74,371.633249
@125,370.264567
INIT,364.5007
PEOPLE,360.646005
UNI,347.766005
USTC,346.69317
GMT,328.62974099999997
UNIBOT,325.055769
LDO,306.921971
BNB,303.200972
@37,298.859201
kSHIB,279.13726399999996
SHIA,273.568643
FET,229.1654
LOOM,215.057055
ETC,205.04848
AR,203.38219999999998
MINA,198.7045
DOT,193.48789299999999
CYBER,191.5296
GALA,184.138024
STG,179.54376000000002
RSR,165.431328
REZ,163.08528
@8,162.720529
DYM,122.891343
ZK,99.656693
ORDI,99.593622
BABY,98.7298
AI,94.826156
ATOM,88.234264
RLB,75.947736
@53,67.86470700000001
@35,67.028127
GAS,60.6139
MYRO,53.47767
@138,50.950684
@47,50.313458
@103,38.558036
@41,36.73844
@153,35.217067
SUPER,35.197902
NEIROETH,34.161578
@38,33.271993
@31,33.212273
MEW,32.46208
@100,27.627142
ARK,27.189288
ALGO,18.36352
@113,16.92622
@93,15.954796
@36,15.663073
@33,13.566929
BOME,12.248102000000001
@39,12.238556
@40,12.149683
kNEIRO,5.319437000000001
REQ,4.947336
@20,4.738087999999999
@117,4.631689
LISTA,4.46974
@116,1.722949
@114,1.309077
@152,0.599998
@3,0.462514
MAV,0.0189
@23,0.0
@15,0.0
@25,0.0
@28,0.0
@18,0.0
@30,0.0
@14,0.0
@123,0.0
@12,0.0
@21,0.0
@19,0.0
@34,0.0
@11,0.0
@17,0.0
@32,0.0
@46,0.0
@42,0.0
@7,0.0
@68,0.0
@48,0.0
@45,0.0
@44,0.0
@78,0.0
@86,0.0
@6,0.0
@61,0.0
@24,-0.002936
@16,-0.060429
@10,-0.063484
@29,-0.078374
@13,-0.12379
@26,-0.25801799999999997
@2,-0.907946
IOTA,-2.454844
MERL,-3.17364
ENS,-7.121359999999999
BNT,-17.60528
TON,-18.09871
@63,-20.663546
MNT,-21.057177
@95,-29.438061
FIL,-35.27859
@49,-40.712216999999995
@112,-52.114723999999995
@9,-58.564889
BANANA,-81.48518800000001
@4,-95.963977
FXS,-121.92971200000001
@124,-128.603876
CANTO,-188.49813000000003
@51,-330.876576
@147,-350.632694
OM,-775.0843229999999
@83,-1087.633355
CRV,-1249.722505
ZEN,-1475.390707
STRK,-1517.376015
NIL,-3175.273635
@135,-5981.36399
POPCAT,-7922.181871
S,-8644.845718
KAITO,-8735.140961
PAXG,-18688.874329
IO,-21893.910518
ADA,-28113.46197
FARTCOIN,-100687.213185
TRUMP,-364824.908179
